Key,English,French,german,russian
<include filename="Dialogs/Zombies.txt"/>
takeandreplace,"Rip off ","Changer","Abreißen ","Оторвать "
musicbox_turnOn,"Turn On","Allumer","Einschalten","Включить"
musicbox_turnOff,"Turn Off","Eteindre","Ausschalten","Выключить"
BanditFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Meister der Verkleidung","Мастер маскировки"
UndeadFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Meister der Verkleidung","Мастер маскировки"
DukeRiverFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Meister der Verkleidung","Мастер маскировки"
WhiteRiverFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Meister der Verkleidung","Мастер маскировки"
ResetFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Meister der Verkleidung","Мастер маскировки"
ResetFactionSchematicDesc,"Read this to reset your faction!","le Reseter Le Faction...er...","Lies dies, um deine Fraktion zurückzusetzen!","Прочтите это, чтобы сбросить свою фракцию!"
BanditFactionSchematicDesc,"Read this to switch over to the bandit faction!","Lisez ceci pour basculer dans la faction des bandits!","Lies dies, um zur Banditen-Fraktion zu wechseln!","Прочтите это, чтобы перейти на сторону фракции бандитов!"
UndeadFactionSchematicDesc,"Read this to switch over to the undead faction!","Lisez ceci pour basculer dans la faction des morts-vivants!","Lies dies, um zur Untoten-Fraktion zu wechseln!","Прочтите это, чтобы перейти на сторону фракции нежити!"
WhiteRiverFactionSchematicDesc,"Read this to switch over to the White River faction!","Lisez ceci pour basculer dans la faction White River!","Lies dies, um zur White River-Fraktion zu wechseln!","Прочтите это, чтобы перейти на сторону фракции Белой Реки!"
DukeRiverFactionSchematicDesc,"Read this to switch over to the Duke faction!","Lisez ceci pour basculer dans la faction du Duke!","Lies dies, um zur Duke-Fraktion zu wechseln!","Прочтите это, чтобы перейти на сторону фракции Герцога!"
UndeadPositiveFactionSchematic,"Peace and Love to the Undead","","Frieden und Liebe für die Untoten","Мир и любовь нежити"
UndeadPositiveFactionSchematicDesc,"Read this to spread the message of the undead! Increase your standings with the undead!","","Lies dies, um die Botschaft der Untoten zu verbreiten! Erhöhe dein Ansehen bei den Untoten!","Прочтите это, чтобы распространять послание нежити! Повысьте свою репутацию у нежити!"
UndeadNegativeFactionSchematic,"Undead: Unreliable! Untrustworthy!","","Untote: Unzuverlässig! Nicht vertrauenswürdig!","Нежить: ненадежная! Недостойная доверия!"
