key,english
cntSphereDropBox,Drop Box
cntSphereDropBoxDesc,A box that will auto-sort items placed inside of it into nearby matching containers.
cntSphereDropBoxIron,Iron Drop Box
cntSphereDropBoxSteel,Steel Drop Box
drinkJarCoffeeCold,Cold Coffee.
drinkJarCoffeeColdDesc,"Cold Coffee isn't as effective as hot coffee, but it'll do in a pinch."
drinkJarBlackStrapCoffeeCold,Cold Black Strap Coffee
drinkJarGoldenRodTeaCold,"Cold Black Strap isn't as effective as hot Black Strap coffee, but it'll do in a pinch."
drinkJarRedTeaCold,Cold Red Tea
drinkJarRedTeaColdDesc,"Cold Red Tea isn't as effective as hot red tea, but it'll do in a pinch."
drinkJarGoldenRodTeaCold,Cold Golden Rod Tea
drinkJarGoldenRodTeaColdDesc,"Cold Golden Rod Tea isn't as effective as hot golden rod tea, but it'll do in a pinch."
zombieKillsTitle,Zombie Kills
arwHelpSection,A Round World
arwHelpOverview,Overview
arwHelpOverviewBody,"A Round World is a light-touch quality of life pack. It adds no new mechanics of its own - nearly everything here is an existing SCore feature switched on, plus one new craftable container.\n\nNothing alters the game's rules or progression. Recipes, perks, loot, gamestage and difficulty are all left alone, so it can be dropped onto an otherwise vanilla game without changing how that game plays.\n\nSCore must be installed. Every feature described on these pages is implemented there; this modlet only turns them on."
arwHelpCrafting,Crafting
arwHelpCraftingBody,"Crafting reads from nearby containers. Ingredients sitting in storage near you count toward a recipe, so materials no longer have to be hauled into your own inventory first.\n\nBlock upgrades and repairs read from containers too, so the same convenience applies while you are patching a wall or upgrading a frame.\n\nWith one deliberate exception: upgrading and repairing are blocked while enemies are near. Shoring up a base is something you do between fights rather than during one.\n\nThe Drop Box is a new container that sorts for you. Anything placed inside is moved out into nearby containers that already hold that item, so unloading after a run is one drop rather than a sorting session.\n\nIt comes in three tiers. The wood box costs 10 wood, 5 nails, 10 mechanical parts and 10 electrical parts. Upgrade it with 10 forged iron and then 10 forged steel, or craft any tier outright by swapping the wood for that metal."
arwHelpParty,Party
arwHelpPartyBody,"Reading is shared across your party. When one member reads a book, everyone in the party receives the benefit, so a group no longer needs to find and hoard duplicate copies of the same volume.\n\nChallenges redeem themselves. Completed challenges pay out as you finish them, with no trip back to the challenge window to claim each one."
arwHelpWorld,World and UI
arwHelpWorldBody,"Zombies vary their walk. Instead of everything sharing one animation, zombies draw from the available walk types, so a crowd reads as individuals rather than a formation.\n\nWhatever you are aiming at shows a health bar, so you can see how much fight is left in a target instead of guessing.\n\nFlickering prefab lights are switched off. The strobing lights found in some points of interest hold steady instead."
