Key,English
SCore04challenges_key,"SCore Challenges"
gather01_title,"Gather Junk"
gather01_short,"Gather Junk"
gather01_desc,"Gather any item that is tagged as junk. This includes resourceScrapPolymers"
wear01_title,"Wear Head Armour"
wear01_short,"Wear Head Armour"
wear01_desc,"Wear any head armour with the tag of armorHead"
ClearPoi_title,"Clear a Point of Interest"
ClearPoi_short,"Clear every sleeper in a point of interest"
ClearPoi_desc,"Clear out all of the sleepers in a point of interest, in the named biome. The challenge counts the sleepers you put down, so a large building can carry you a good part of the way on its own."
challengeClearPoiHint1,"Sleeper volumes only count once they are fully cleared."
chalHelpSection,"Challenges"
chalHelpOverview,"Overview"
chalHelpOverviewBody,"This modlet adds around eighty extra challenges to the ones the game ships with, spread across three new categories in the Challenges window.\n\nThey are all optional. Nothing here replaces or alters a vanilla challenge, and none of them gate progression - they are goals to chase and a little extra experience for doing things you were probably going to do anyway.\n\nMost award 1000 experience on completion. Open the Challenges window from the main menu bar to see them, pick a category down the left, and the challenges in it are listed with your current progress.\n\nSCore IS REQUIRED. Every objective type used here - killing with a named weapon, decapitating, harvesting, hiring an NPC, starting a fire - is implemented in SCore, not in the base game. Without SCore installed, and at a recent enough version, the challenges are skipped entirely and none of the three categories appear."
chalHelpAbility,"Ability"
chalHelpAbilityBody,"The Ability Challenges category mirrors the five attributes, with a bonus group alongside them. Each challenge asks for ten kills with a particular weapon.\n\nPERCEPTION covers the rifles, the spears, and the throwables - pipe bombs, grenades and the cooking pot mine.\n\nSTRENGTH covers the shotguns, the clubs and the sledgehammers.\n\nFORTITUDE covers the machine guns and the knuckles.\n\nAGILITY covers the bows and crossbows, the handguns and the knives. A few of these accept more than one weapon: the crossbow challenge takes either crossbow, and the first pistol challenge takes the pipe pistol, the pistol or the SMG.\n\nINTELLECT covers the batons and the robotic and electrical hardware - junk sledge, junk turret, auto turret, shotgun turret, blade trap and dart trap - plus two building challenges for placing electric fence posts and wire relays.\n\nBONUS asks for stealth. Ten sneak kills with a melee weapon, ten with a ranged one, and then four streak challenges where the kills have to come one after another without being spotted, using any weapon, a bow, a blade, or a spear."
chalHelpSCore,"SCore"
chalHelpSCoreBody,"The SCore Challenges category collects the objectives that have nothing to do with which weapon you are holding.\n\nDECAPITATION. Take ten heads with a blade, then ten more with a gun, and ten with a bow.\n\nCRAFTING. Craft twice using legendary parts, and twice using wood, counted by the ingredient rather than the recipe.\n\nFIRE. Burn down twenty blocks, start a fire, keep a big one going, and put twenty out again. These need SCore's fire system to be switched on.\n\nHARVESTING. Harvest wood with an axe, once in the burnt forest and once from pallets, and harvest from wood blocks generally.\n\nGATHERING AND GEAR. Pick up ten items tagged as junk, and wear a piece of head armour and a piece of chest armour.\n\nCLEARING. Clear every sleeper out of a point of interest, once in the pine forest and once in the burnt forest.\n\nA few entries in this category are development tests rather than real challenges, and may show placeholder text."
chalHelpNPC,"NPC"
chalHelpNPCBody,"The NPC Challenges category is about hiring, and needs NPCs in your game - these come from the NPC packs built on SCore, not from the base game. Without them the category will be visible but nothing in it can be completed.\n\nThe first challenge simply asks you to hire ten of anyone.\n\nThe rest narrow it down. Hire five nurses. Hire five women, or five men. Hire five men in the burnt forest specifically, so where you are standing counts as well as who you hire.\n\nTwo more ask you to be carrying something at the moment of hiring: goldenrod in hand for one, anything tagged as brass for the other. Check what you are holding before you talk to them, because the check happens when the hire goes through and there is no second chance on that one.\n\nEvery challenge in this category rewards the same 1000 experience."
