Key,English
loadingTipPG13_title,"SphereII PG13"
loadingTipPG13,"Party Girl model has been been converted over to Marlene model for a more PG13 experience. Quests are unaffected. Grumpy Traders have been encouraged to be nicer as well."
loadingTipPG13_Rekt_title,"Trader Rekt Muted"
loadingTipPG13_Rekt,"Trader Rekt has been gagged. His compound is now silent."
loadingTipPeaceOfMind_title,"SphereII Peace of Mind"
loadingTipPeaceOfMind,"The Peace Of Mind modlet removes a few potential trigger blocks. Stay healthy."
loadingTipFlickeringLights_title,"Flickering Lights"
loadingTipFlickeringLights,"If 0-SCore mod is available, flickering lights will be disabled."
pomHelpSection,"Peace of Mind"
pomHelpOverview,"Overview"
pomHelpOverviewBody,"Peace of Mind softens the game's harsher imagery and language. It combines two earlier modlets, PG13 and Peace of Mind, into one.\n\nWHAT IT TARGETS. The scope is deliberately narrow: scenes where one person has killed another, or where someone has taken their own life. A body strung up on a post, or a noose left hanging in an empty room, carries an implication about who put it there and why. That implication is what this modlet removes.\n\nWHAT IT LEAVES ALONE. Death by itself is not the target. Corpses, blood, bones, body bags and animal remains all stay exactly as the game ships them, because someone who fell to the outbreak, to injury or to plain bad luck tells you nothing about anyone having done it to them. Stripping those out would flatten the game's atmosphere without serving the purpose.\n\nSo if you come across a body in a ruined house, that is intentional. If you never come across one hanging from a rope, that is also intentional.\n\nNothing here changes how the game plays. Quests, loot, spawns, difficulty and progression are untouched - the changes are to models, block names, voice lines and one trader's demeanour, so a save can move on and off this modlet freely.\n\nOne part depends on SCore and is skipped automatically when SCore is not installed."
pomHelpScenery,"Scenery"
pomHelpSceneryBody,"Bodies hanging from posts are gone. The posts themselves remain as scenery with nothing on them, using the empty versions the game already ships. All twenty four of these blocks are covered, every colour included, since the coloured ones take their appearance from the block they are based on.\n\nThe noose is now an ordinary rope. It keeps its place in the world and can still be climbed like any other rope; only the noose model is replaced, with a plain tiled rope.\n\nThe names go too. Every one of these blocks is renamed for what it now is - a hanging log, a hanging rope, a tiled rope - so nothing is left calling itself a corpse or a noose when you look at it or strike it.\n\nFlickering lights are switched off, if SCore is installed. The strobing and pulsing lights found in some points of interest hold steady instead. Without SCore this part is skipped and those lights behave as they do in vanilla."
pomHelpPeople,"People"
pomHelpPeopleBody,"The Party Girl zombie now looks like Marlene. All four variants are covered - the standard zombie along with its feral, radiated and charged forms.\n\nThis is an appearance change only. The entity names are kept, so quests, spawn lists and anything else that refers to the Party Girl carries on working exactly as before.\n\nTrader Rekt has been quieted. His voice set is removed, so his compound no longer carries his commentary, and his stance is softened from Dislike to Neutral - the same footing Trader Hugh is on."
corpseHangingLog1White,"White Hanging Log 1"
corpseHangingLog1Brown,"Brown Hanging Log 1"
corpseHangingLog1Red,"Red Hanging Log 1"
corpseHangingLog1Green,"Green Hanging Log 1"
corpseHangingLog1Blue,"Blue Hanging Log 1"
corpseHangingLog1Grey,"Grey Hanging Log 1"
corpseHangingLog2White,"White Hanging Log 2"
corpseHangingLog2Brown,"Brown Hanging Log 2"
corpseHangingLog2Red,"Red Hanging Log 2"
corpseHangingLog2Green,"Green Hanging Log 2"
corpseHangingLog2Blue,"Blue Hanging Log 2"
corpseHangingLog2Grey,"Grey Hanging Log 2"
corpseHangingLog3White,"White Hanging Log 3"
corpseHangingLog3Brown,"Brown Hanging Log 3"
corpseHangingLog3Red,"Red Hanging Log 3"
corpseHangingLog3Green,"Green Hanging Log 3"
corpseHangingLog3Blue,"Blue Hanging Log 3"
corpseHangingLog3Grey,"Grey Hanging Log 3"
corpseHangingRope1White,"White Hanging Rope 1"
corpseHangingRope1Brown,"Brown Hanging Rope 1"
corpseHangingRope1Red,"Red Hanging Rope 1"
corpseHangingRope1Green,"Green Hanging Rope 1"
corpseHangingRope1Blue,"Blue Hanging Rope 1"
corpseHangingRope1Grey,"Grey Hanging Rope 1"
modularRopeNoose,"Rope Tiled"
