Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
buffsmallBed,items,Medical,KgNone,Small bed,,,,,
buffsmallBedDesc,items,Medical,New,A small bed will help you rest up.,,,,,
tutorialTipQuest01,,Quest Info,KeyCon KgNone,"Welcome to the Winter Project\nExplore and try to survive in the frozen landscape of the Winter Project.\n\n-sphereii and xyth",,,,
foodHoneyFrozen,items,Food,--,Frozen Jar of Honey,,,,,
foodFrozenDesc,items,Medical,--,"This looks like it's frozen solid. I'll have to thaw it before I can use it.",,,,,
drinkCanMegaCrushFrozen,items,Food,newKey,Frozen Mega Crush,,,,,
drinkJarBeerFrozen,items,Food,--,Frozen Beer,Bière,Bier,,Cerveza,
drinkJarBlackStrapCoffeeFrozen,items,Food,newKey,Frozen Blackstrap Coffee,,,,,
drinkJarBoiledWaterFrozen,items,Food,--,Frozen Bottled Water,Eau en bouteille,Flasche Wasser,,Agua embotellada,
drinkJarCoffeeFrozen,items,Food,--,Frozen Coffee,Café,Kaffee,,Café,
drinkJarGoldenRodTeaFrozen,items,Food,--,Frozen Goldenrod Tea,Thé à verge d'or,Goldrutentee,,Té de vara de oro,
drinkJarPureMineralWaterFrozen,items,Food,newKey,Frozen Pure Mineral Water,,,,,
drinkJarRedTeaFrozen,items,Food,--,Frozen Red Tea,Thé rouge,Roter Tee,,Té rojo,
drinkJarRiverWaterFrozen,items,Food,--,Frozen Bottled Murky Water,Eau trouble en bouteille,Flasche trübes Wasser,,Agua turbia embotellada,
drinkJarYuccaJuiceFrozen,items,Food,--,Frozen Yucca Juice,Jus de yucca,Yucca-Saft,,Jugo de yuca,
drinkYuccaJuiceSmoothieFrozen,items,Food,newKey,FrozenYucca Juice Smoothie,,,,,
foodCanBeefFrozen,items,Food,newKey,"Frozen Large Beef Ration",,,,,
foodCanChickenFrozen,items,Food,newKey,"Frozen Chicken Ration",,,,,
foodCanLambFrozen,items,Food,newKey,"Frozen Lamb Rations",,,,,
foodCanCatfoodFrozen,items,Food,newKey,"Frozen Can of Cat Food",,,,,
foodCanDogfoodFrozen,items,Food,newKey,"Frozen Can of Dog Food",,,,,
foodCanChiliFrozen,items,Food,newKey,"Frozen Can of Chili",,,,,
foodCanTunaFrozen,items,Food,newKey,"Frozen Can of Tuna",,,,,
foodCanShamFrozen,items,Food,newKey,"Frozen Can of Sham",,,,,
foodCanPastaFrozen,items,Food,newKey,"Frozen Can of Pasta",,,,,
foodCanSalmonFrozen,items,Food,newKey,"Frozen Can of Salmon",,,,,
foodCanMisoFrozen,items,Food,newKey,"Frozen Can of Miso",,,,,
foodCanPeasFrozen,items,Food,newKey,"Frozen Can of Peas",,,,,
