Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
Carousel,blocks,Block,New,A small music Carousel,,,,,
CarouselDesc,blocks,Block,New,"A small Carousel to help fill the air with music and hope.",,,,,
VideoPlayer,blocks,Block,New,A small  video player,,,,,
VideoPlayerDesc,blocks,Block,New,"A small video player that can take some DVDs.. if only I had some.",,,,,
VideoPlayerTV,blocks,Block,New,A nice TV set,,,,,
VideoPlayerTVDesc,blocks,Block,New,"A nice TV set that can take some DVDs.. if only I had some.",,,,,
audioCD00,items,Tool,KgNone,An audioCD,,,,,
audioCD00Desc,items,Tool,KgNone,"An audio cd of the greatest hits",,,,,
audioCD01,items,Tool,KgNone,A christmas audioCD,,,,,
audioCD01Desc,items,Tool,KgNone,"An audio cd of the greatest hits for christmas time",,,,,
dvd01,items,Tool,KgNone,A DVD video,,,,,
dvd01Desc,items,Tool,KgNone,"A DVD video... I wonder whats on it",,,,,
dvd02,items,Tool,KgNone,A DVD video,,,,,
dvd02Desc,items,Tool,KgNone,"A DVD video... I wonder whats on it",,,,,
dvd03,items,Tool,KgNone,A DVD video,,,,,
dvd03Desc,items,Tool,KgNone,"A DVD video... I wonder whats on it",,,,,
